course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
"Skin, Our Largest, Hottest, and Coolest Organ: From Cancer to Cosmetics",FYSEMR   51M,David Fisher,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:45pm,Tue,13971,207776,Instructor,0/10,0,False,False,True,False,False,False,False,"Skin provides a protective barrier that is vital to survival of all multicellular organisms. Its physical properties have been exploited for centuries, from clothing to footballs, and yet skin is a vibrant and dynamic organ that responds to environmental signals in myriad ways. Skin protects humans from toxic exposures, but can also be an intrinsic source of dangerous diseases. While its defects only rarely kill humans, its imperfections can cause misery and discomfort, ranging from subtle annoyances to depression and loss of self-esteem. It is a source of immense pleasure or excruciating pain. This seminar will provide a series of exposures at an introductory level, to distinct topics in skin biology. They will exemplify the diverse and vibrant nature of cutaneous networks and signals, through the lens of commonly recognized topics such as tanning, hair, sweat, cancer, cosmetics, cancer, and infections.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,First Year Seminar Program,Seminar,N/A,FAS Satisfactory/Unsatisfactory,Course open to Freshman Students Only,N/A,N/A,None
Molecular determinants of T cell phenotypes in cancer,IMMUN  379,Ana Anderson,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10496,207239,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Understanding of how immune cells perform systems-level functions in health and disease.,IMMUN  352,Alexander Shalek,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10478,207243,No Consent,0,0,False,False,False,False,False,False,False,Development and application of new technologies that facilitate understanding of how immune cells collectivelyperform systems-level functions in health and disease.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Compassion and Heart Cultivation: Buddhism and the Clinical Approach,HDS 3053,,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,17050,208107,Instructor,0/15,0,False,False,False,False,False,False,False,"In the Buddhist view, compassion involves a response to suffering that is fully engaged while remaining free of judgment and imbued with the wisdom of unconditional caring for self and other. This ideal, however, can pose challenges to those in professional caregiving roles who strive to balance giving compassion, sustainability in the midst of suffering, and applying these to one’s own spiritual growth. In this course, we will explore the Buddhist view of compassion and will draw on traditional texts, contemplative approaches, and applied contemporary methods in counseling, social engagement and clinical practice based in compassion theory to consider skillful means in compassionate care. Consideration will also be given to the process of relational compassion (“intersubjectivity”) in direct clinical care, as well as its place in Buddhist ethics, as well as scientific research into brain physiology, neuroplasticity, and the effects of compassion-based meditation. Finally, we will consider notions of compassion fatigue, self-compassion, compassion aversion, and various approaches to compassion training. The seminar will consist of readings, lectures, meditation practices, counseling practice with peers, and case studies.",,Harvard Divinity School,4,Available for BTI Cross Registration,Divinity School,Seminar,In Person,HDS Student Option (LG/SUS/AUD),N/A,,,
Time - Research Related,PSY 3320,,2025 Fall,Dynamically Dated,None,None,,,,12506,208309,No Consent,0/30,0,False,False,False,False,False,False,False,To be used only in exceptional circumstances with permission from the DGS or Graduate Office.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Psychology,Reading and Research,N/A,FAS Ungraded,N/A,N/A,N/A,None
Recorded time for Teaching Fellows,ASTRON  301,,2025 Fall,Dynamically Dated,2025-09-02,2025-12-03,,,,12513,208322,Instructor,0/30,0,False,False,False,False,False,False,False,Please register for this course during the semesters you are teaching in both Astronomy department courses or any other department of the University.  Typical TF position is .25 FTE which is equivalent to 4 units.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Astronomy,Reading and Research,N/A,FAS Ungraded,N/A,N/A,N/A,None
Research or Academic Study,PHS  302,,2025 Fall,Dynamically Dated,2025-09-02,2025-12-03,,,,12517,208325,Instructor,0,0,False,False,False,False,False,False,False,"Enroll is this course when the study being pursued is related to academic study, additional pursuits related to academics, or research that does not relate toward a dissertation.",,Faculty of Arts & Sciences,2,Not Available for Cross Registration,Population Health Sciences,Reading and Research,N/A,FAS Ungraded,N/A,N/A,N/A,None
"Reading and Writing in Romance Languages, Literatures, and Cultures",ROM-STD 3000,,2025 Fall,Dynamically Dated,None,None,,,,12915,208311,No Consent,0/40,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Romance Languages & Lit,Reading and Research,N/A,FAS Ungraded,N/A,N/A,N/A,None
Gauge theory and related tools,MATH  252Z,Peter Kronheimer,2025 Fall,Full Term,2025-09-02,2025-12-03,10:30am,11:45am,Mon Wed,17483,226277,No Consent,0,0,False,True,False,True,False,False,False,"The course will be an introduction to some of the tools in low-dimensional topology, and some examples of how they are used.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Link homology and foams,MATH  253Z,William Ballinger,2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Mon Wed,17485,226279,No Consent,0,0,False,True,False,True,False,False,False,"This course will describe categorifications of the Reshetikhin-Turaev invariant of links and their topological applications, both as originally developed by Khovanov and Rozansky via matrix factorizations and via the Roberts-Wagner foam evaluation. Particular goals will be to study the general theory of matrix factorizations in some detail and understand the connections between these two approaches. Once this background is established, we will discuss functoriality under cobordisms, and the many resulting obstructions to concordance.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Markov Chains,MATH  255Z,Colin Defant,2025 Fall,Full Term,2025-09-02,2025-12-03,10:30am,11:45am,Tue Thu,17487,226280,No Consent,0,0,False,False,True,False,True,False,False,"A Markov chain is a random process in which states change in a ""memoryless"" manner that only depends on the current state. Markov chains are ubiquitous objects in probability theory that permeate through both pure and applied mathematics. When one runs an irreducible Markov chain for a long time, the distribution of the states will converge to a stationary distribution. This course will develop tools for computing this stationary distribution and estimating how quickly the Markov chain converges to it.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Asian Cities: Multiple Modernities and Global Connections,SOC-STD   98MM,Xinyu Guan,2025 Fall,Full Term,2025-09-02,2025-12-03,12:45pm,2:45pm,Mon,17228,226282,Instructor,0/10,0,False,True,False,False,False,False,False,"What does studying Asian cities teach us about cities, and about Asia writ large? Through engaging with ethnographies and urban theories, we will explore themes such as (post)colonialism, multiple modernities, informality, neoliberalism, (post)socialism, migration, and diaspora. This course will be of interest to students with an interest in urban-related topics in general, with no background knowledge on Asia required. In addition to cities situated within Asia, we will examine diasporic urban spaces and communities physically outside of Asia. Alongside the course themes, we will analyze and learn how to conduct ethnography and interviews, in addition to analyzing maps and archival material. There will be an ethnographic assignment, where students will learn to conduct an in-person ethnographic observational exercise of an Asia-related space or community in the Boston area. For the culminating final assignment, students will pick one of the methods to conduct original research and write a 20-25-page paper. This is a junior tutorial.",This course will be lotteried and is open to non-concentrators if space permits.,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Social Studies,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Praise and Blame,PHIL  178P,Zoe Johnson King,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,1:15pm,Tue Thu,17476,226295,Instructor,0/36,0,False,False,True,False,True,False,False,"If I teach an amazing course, then you might feel gratitude and fill out a positive course evaluation. But if I agree to meet with you at a certain time and never show up, then you might feel resentment and complain to your friends -- especially if it turns out that I had no good reason for not showing up and I simply didn't feel like talking to you. These are examples of praise and blame, respectively. Praise and blame are ubiquitous parts of our interpersonal lives. But what, exactly, are these attitudes? (Hold on a minute, are they attitudes or behaviors?) And when, exactly, are they merited or deserved? In this course, we will examine some of the philosophical literature on agency and responsibility that underpins attributions of praiseworthiness and blameworthiness. We will discuss free will and moral luck; cognitive, affective, and motivational theories of blame; the epistemic condition and the control condition on responsibility; the standing to blame; forgiveness and repair; and the kinds of motivations that make people praiseworthy.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Philosophy,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Mining the Archive: Critical Obsolescence in Contemporary Latin American Literature,SPANSH  237,Alejandra Vela Martinez,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:00pm,Mon,17511,226304,No Consent,0,0,False,True,False,False,False,False,False,"In the fast-paced world of literary production and reception, a work may be considered intellectually “consumed” almost as soon as it is published. In this course we’ll look at recent Latin American literature that establishes a sometimes productive, other times disruptive relationship with archives and criticism, in contrast to previous works that have delved into the archives for their literary production. Delving into the pressures and challenges faced by contemporary Latin American authors such as Jazmina Barrera, Mariana Enriquez, Fernando Vallejo, among others, as they navigate the dual demands of producing literature that is both critically relevant and culturally resonant, amidst the backdrop of archival extractivism and a fast-evolving literary landscape, the course will offer a panoramic approximation to how intertwined literary production and literary criticism can be, and the consequences this has on both the literary field and academia. The combined concepts of critical obsolescence and archival mining aim to explore how these forces impact the creation, reception, and interpretation of literature in Latin America. Authors seem to find themselves negotiating between the vast historical and cultural tapestries available through the regions’ archives and the demands for fresh, relevant narratives in a global literary market. This places a particular type of pressure on authors and critics in Latin America to continuously innovate or react to new developments, which can render previous interpretations quickly obsolete, but that also assume certain tightness in regard to the possibilities of the hermeneutical process itself.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Romance Languages & Lit,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Slavery and Race in American Law,SOC-STD   98SR,John Harpham,2025 Fall,Full Term,2025-09-02,2025-12-03,9:45am,11:45am,Thu,17231,226287,Instructor,0/10,0,False,False,False,False,True,False,False,"This course will explore the relationship between enslavement and racialization in American law. The course will start from the premise that American slavery was an institution that enlisted law in support of power and exploitation. As the institution transformed over time, so did the contours of the law. The course will first examine the early-modern Atlantic world, where we will compare the legal regimes of slavery in the British, French, and Spanish empires.  We will use various kinds of documents to structure our inquiries, from statutes and law codes to legal treatises and appellate opinions to works of scholarship and the first-person narratives of persons who have been enslaved. This is a junior tutorial.",This course will be lotteried and is open to non-concentrators if space permits.,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Social Studies,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Genuinely Hard Problems in Science,FYSEMR   58C,"Jeff W. Lichtman, Logan McCarty",2025 Fall,Full Term,2025-09-02,2025-12-03,9:00am,11:15am,Mon,17515,226309,Instructor,0/15,0,False,True,False,False,False,False,False,"This seminar explores some of science's most significant unsolved challenges: Genuinely Hard Problems (GHPs) that have stumped researchers despite their best efforts. To solve these problems, technical execution is not enough—we need true conceptual breakthroughs. Examples include reconciling quantum mechanics with gravity or finding the biological mechanisms that cause mental illness.A key part of the seminar is identifying a GHP that deeply interests you. Each week will feature Harvard faculty whose research is related to these GHPs. Maybe it's the origin of life, dark matter and the structure of the universe, or cracking the code of human aging. They will make a pitch to serve as your academic mentor, and together, you'll plan an undergraduate curriculum focused on building the skills and knowledge you'd need to tackle your chosen GHP. You'll also study historical cases where seemingly impossible problems were solved, often by young researchers with fresh perspectives.By the end of the seminar, you'll have a clearer picture of the scientific landscape and where you might fit into it. We hope that some of you will embark on a tailored academic journey here at Harvard, aimed at equipping you to address some of science's most profound mysteries. No prior scientific expertise is required—just deep curiosity, openness to failure, and willingness to grapple with big ideas.","This seminar will meet on Wednesday, 9:15-11:15am.",Faculty of Arts & Sciences,4,Not Available for Cross Registration,First Year Seminar Program,Seminar,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Graduate Reading in Nonlinear partial differential equations,MATH  323,Aaron Landesman,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,17492,226294,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Elementary Vietnamese for Advanced Beginners,VIETNAM     BX,Hoa Le,2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Mon Wed Fri,17494,226301,No Consent,0,0,False,True,False,True,False,True,False,"A specialized, accelerated track for heritage learners. Vietnamese Bx covers essential grammar and writing skills while strengthening existing speaking and listening abilities. Students who continue into Vietnamese 120xb will cover the equivalent of Intermediate Vietnamese (Vietnamese 120A & 120B), preparing them for advanced coursework. The heritage track allows students to fast-track into Pre-Advanced Vietnamese (Vietnamese 130A & 130B) if they choose to continue.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,East Asian Langs & Civ,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,None
Science of Play,PSY 1641,,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,4:15pm,Tue Thu,17537,226313,Instructor,0/40,0,False,False,True,False,True,False,False,"Play is serious business. Ever wonder why play is so important for growing minds and how it shapes the way children learn, connect, and navigate the world? This course explores how play drives social, emotional, and cognitive development across childhood, using insights from developmental psychology, neuroscience, and clinical research. From the imaginative worlds of toddlers to the structured games of older children, students will examine how play builds essential skills like problem-solving, self-regulation, and social bonding. The course also addresses the neurobiological underpinnings of play, such as its role in stress regulation and neural plasticity, and explores its applications in fostering resilience and addressing developmental challenges. Students will investigate how disruptions to play—due to socioeconomic, environmental, or neurodevelopmental factors—affect overall development, while also considering how cultural contexts shape play experiences and inform inclusive, equitable practices. Students will also have opportunities to observe and analyze children’s play behaviors in everyday settings, such as children’s museums or daycares. By combining cutting-edge research with real-world applications, this course invites students to think creatively and critically about the profound power of play.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Psychology,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,N/A
Regional Psychology: An Atlas of our Social World,PSY 1542,,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,2:00pm,Mon,17507,226305,Instructor,0/16,0,False,True,False,False,False,False,False,"Common stereotypes suggest that Southerners are particularly hospitable, Minnesotans are extra nice, New Yorkers are unusually impatient, and Portlanders are artsy hipsters. But is there any evidence to support these stereotypes? In this course, we will dive into the emerging field of regional psychology and explore our social environment by taking the novel approach of focusing on geographic places as the primary unit of analysis rather than individuals. We will cover topics such as the mechanisms that drive regional differences across a range of psychological constructs, as well as how these regional differences relate to important societal outcomes and disparities. Through readings, discussions, and a hands-on mapmaking project, this course will prepare you to think critically about the relationship between people’s psychological characteristics and the features of the places in which they live.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Psychology,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Declarations of Independence: The Political Philosophy of the American Revolution,FYSEMR   47U,David Armitage,2025 Fall,Full Term,2025-09-02,2025-12-03,12:45pm,2:45pm,Wed,17534,226320,Instructor,0/12,0,False,False,False,True,False,False,False,"As the 250th anniversary of the US Declaration of Independence approaches in 2026, this seminar will examine that familiar document in some unfamiliar contexts.  At the same time, it will provide a focused introduction to the development of modern ideas of rights, nationality, and statehood and will encourage students to place the United States in historical perspective and within an international context.  The Declaration drew upon two centuries of arguments justifying rebellion, secession, and rights.  It spoke to concerns and arguments arising out of contemporary British and American political thought.  It was also the culmination of a series of similar declarations from colonies and towns and of a series of manifestos and papers issued by the Continental Congress. The seminar will examine these other documents, along with the successive versions of the Declaration in manuscript and print, in order to understand the political philosophy of the American Revolution.  It will then examine the earliest replies to the Declaration, the many other American declarations of independence during the course of the nineteenth and twentieth centuries, and the various translations, imitations, and analogues of the American Declaration produced by later nationalist, secessionist, and anti-colonial movements up to the present.",The seminar will also coincide with the opening of the nation's major exhibit on the Declaration for 2026 at the Museum of the American Revolution in Philadelphia. A class visit to Philadelphia is planned for the opening in October 2025. The trip will be free of cost to the student.,Faculty of Arts & Sciences,4,N/A,First Year Seminar Program,Seminar,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
"Empire, Nation, and the Making of Modern Xinjiang",CHNSHIS  249,Mark Elliott,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,17538,226322,Instructor,0/12,0,False,False,False,False,False,False,False,"The goals of this course are to explore the main issues in the history of China’s westernmost region and to design an undergraduate course to be offered in the future on the subject. In addition to readings and discussion, students will contribute to work on a syllabus, lectures, media, section discussion topics and assignments, and a website. Enrollment is limited to graduate students, with permission of the instructor.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,East Asian Langs & Civ,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Political Economy of Climate Change and the Environment,GOV 2739,Dustin Tingley,2025 Fall,Full Term,2025-09-02,2025-12-03,9:45am,11:45am,Wed,18920,226324,No Consent,0,0,False,False,False,True,False,False,False,"This graduate level course examines the political and economic drivers that have and will continue to change the Earth’s environment and climate. We will examine scholarship that debates the sources of these changes and the proposed solutions. Specific focus will be on scholarship from political science and economics, but insights from other social science disciplines will be examined as well. The course will also consider and evaluate policy proposals designed to reduce or eliminate environmental and climatic problems with an eye to how well they address underlying incentive problems, interface with existing or new institutional structures, and are predicated on credible empirical research. Domestic, comparative, and international focused literatures are all covered in the class.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Government,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Advanced Engineering Quantum Mechanics,CHEM  200,Federico Capasso,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,4:15pm,Mon Wed,13556,220706,No Consent,0,0,False,True,False,True,False,False,False,"The focus of this course is on the basic principles involved in the control of quantum systems and assumes knowledge of undergraduate quantum mechanics. Schrödinger, Heisenberg and interaction representations. Eigenvalue and time dependent problems, wave packets, coherent states. Harmonic oscillators. Quantization of the EM field. Tunneling; periodic potentials; Bloch’s theorem. Perturbation theory. WKB approximation. Transfer matrix methods. Variational methods. Rotation generators and angular momentum. Magnetic moment and spin; Stern Gerlach experiment. Spin states, Pauli matrices. Pauli equation. Dynamics of spins in a static and a transverse time dependent magnetic field; dynamics in a rotating frame; Rabi oscillations. Coherent dynamics of two-level atoms. Rotating-wave and dipole approximations. Mixed states and density matrix. T1 and T2 relaxation times. Bloch equations. Identical particles: Bosons and Fermions. Slater determinant. Entanglement; singlet and triplet states. Clebsch-Gordan coeﬃcients. Exchange energy. Elements of quantum information (qubits, no-cloning theorem, teleportation, quantum circuits).","This course is also offered as QSE 200 and ENG-SCI 200. Students may only take one of QSE200, ENG-SCI 200, Chem 200 for credit   Related Discussion Sections:  Th 4:30 PM - 5:45 PM TBA",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Chemistry & Chemical Biology,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
German Poetry Today,GERMAN  173,Simone Stirner,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,2:45pm,Tue,18495,226327,Instructor,0/30,0,False,False,True,False,False,False,False,"The course introduces students to the rich and vibrant landscape of contemporary German poetry and considers how poetry participates in the social, political, and emotional fabric of Germany today. We will talk rhythm and meter, discuss politics and pop culture, consider forms of intermediality and multilingualism, engage with poetry films and performance art, to assess not only what poems mean but also how they are protesting, mourning, remembering, loving, dreaming up futures—in German today. Practicing close analysis and attentive reading, we chart the formal innovations of individual poems alongside an understanding of broader trends in German literature and culture. Guest speakers include a poet, a translator, and a poetry editor who will connect us to the contemporary scene of poetry festivals and publishing houses in Germany. Poetry by Semra Ertan, May Ayim, Durs Grünbein, Monika Rinck, Marion Poschmann, Ann Cotten, Esther Dischereit, Yoko Tawada, Jan Wagner, Max Czollek, Dunajcsik Mátyás, and others.",,Faculty of Arts & Sciences,4,N/A,Germanic Languages & Lit,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Graduate Research–Farhat Lab,BMIF  326DR,Maha Farhat,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13740,222105,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
The Power and Beauty of Being In Between: The Story of Armenia,GENED 1185,Christina Maranci,2025 Fall,Full Term,2025-09-02,2025-12-03,10:30am,11:45am,Tue Thu,13881,222072,No Consent,0,0,False,False,True,False,True,False,False,"How can one small, remote country change the way we think about the culture of the world?Being wedged between superpowers might seem like a recipe for ethnic assimilation and cultural conformity. Yet what if it made you stronger? In the case of Armenia, being “in-between” led to a vibrant, diverse, and resilient culture, a distinctive religious and national identity, and a dynamic diaspora. Travelling from antiquity to modernity, we will explore how Armenia and Armenians survived and thrived despite invasion, oppression, statelessness, and planned annihilation. We will explore the connections between Armenian culture and diverse traditions, including classical antiquity, the Ancient Near East, Sasanian and Islamic Iran, and the Byzantine empire, East Asia, and Europe, and the relations between Armenia and neighboring cultures of the Caucasus. We will follow the Armenian experience into the early modern period, when Armenians established a trade network reaching from the Indian subcontinent to Amsterdam, absorbing and informing a kaleidoscope of cultures along the way. We will wrap up with the survival of Armenian traditions in contemporary culture, the role of the Armenian genocide in shaping Armenian identity, including in neighboring Watertown. Finally, we will discuss the meaning of cultural heritage for Armenians today, and explore its role at the intersection of politics, diplomacy, law, scholarship, human rights, and activism.",,Faculty of Arts & Sciences,4,Not Available for Cross Registration,General Education,Lecture,N/A,FAS Letter Graded,N/A,Aesthetics and Culture,N/A,None
Graduate Research – Koehler,NEUROBIO  331DR,Karl Koehler,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13326,219524,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Contemporary Chamber Music,MUSIC  186R,"Claire Chase, Ken Hamao",2025 Fall,Full Term,2025-09-02,2025-12-03,7:00pm,9:00pm,Wed,18676,222096,Instructor,0/20,0,False,False,False,True,False,False,False,"MUSIC 186 is a course taught by Professors of the Practice Claire Chase and Ken Hamao that explores the performance and interpretation of contemporary chamber music. Through auditions, students will be divided into small ensembles that focus on repertoire of today and the recent past, with an emphasis on work by living composers. Groups will receive weekly coachings from either Prof. Chase or Prof. Hamao and will participate in workshops throughout the semester as well as projects and performances. Composers will also write and workshop new material with groups. Pre-formed groups (consisting of a minimum of three players) with specific projects in mind, individual performers who are interested in learning about contemporary chamber music, and undergraduate composers are encouraged to apply. In all cases, each individual is required to apply to the course separately. Please contact chase@fas.harvard.edu or ken_hamao@fas.harvard.eduto discuss any questions regarding repertoire or group type. All instrument types and vocalists are welcome to apply, whether or not you have specific repertoire projects to propose.",Information about auditions and application procedures will be available in late Spring 2025.  Graduate students are welcome to apply.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Music,Studio,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Introduction to Seismology,E-PSCI  265,Miaki Ishii,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:45pm,Tue Thu,16817,219530,No Consent,0,0,False,False,True,False,True,False,False,"Introduction to seismology with a focus on conceptual understanding of seismic phenomena. Emphasis will be on earthquakes, e.g., detection, mechanism, characteristics, statistics, hazard, and relationship to dynamics. Broader topics such as the types of seismological data and inferences of the Earth's internal structure also will be covered.","Depending upon the availability of seismic instrument expert, there may be one field trip to seismic station at Harvard, MA. Given in alternate years.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Earth & Planetary Sciences,Laboratory,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Frontiers in Experimentation and Imaging,SCRB  164,Fei Chen,2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Mon Fri,17160,220056,Instructor,0/16,0,False,True,False,False,False,True,False,"Frontiers in Experimental and Imaging is an interdisciplinary, laboratory-based course which seeks to explore the organization of cells and tissues using microscopy. Through a series of lectures, laboratory experiments, and student-designed research projects, students will learn experimental design, cutting edge methods (such as expansion microscopy), and data analysis. With microscopes in hand, we will venture from the fertilization of the zygote, to complex architecture of the brain, and to reversing the subcellular defects of aging.  Join us for discovery and experimentation.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Stem Cell & Regenerative Biol,Laboratory,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
The History of Molecular Biology,MCB  149,Richard Losick,2025 Fall,Full Term,2025-09-02,2025-12-03,4:30pm,5:45pm,Mon Wed,13448,220065,No Consent,0,0,False,True,False,True,False,False,False,The field of molecular biology revolutionized our understanding of how living systems work. How did this transformation come about? We delve into three decades of transformative discoveries and historic publications that wrought this revolution,This course is cross-listed with The History of Science.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Molecular & Cellular Biology,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
"Technology, Behavior, and Human Evolution",HEB   45,Abigail Desmond,2025 Fall,Full Term,2025-09-02,2025-12-03,9:00am,10:15am,Tue Thu,13566,220758,Instructor,0/45,0,False,False,True,False,True,False,False,"When does human history begin? We now know that some of the first Homo sapiens appeared over 315,000 years ago. Looking back to even earlier human species, around 2-3 million years ago, we would perhaps be surprised to encounter familiar behaviors: people walking upright, cooperating and socializing, hunting, and using technology. Everything that exists as written history represents less than 2% of what has happened since we emerged as a species, and less than 0.3% of what has happened since archaic humans first emerged. If we want to understand who we are, and why we do the things we do, we need to take a closer look at our relatives in the Paleolithic.     Technology, Behavior, and Human Evolution is an introductory course which offers primatological, fossil, environmental, genetic, and archaeological perspectives on human evolution. Starting with the earliest hominins, each week we will examine central themes and developments in human evolution over the last 6 million years. Students will consider how the emergence and spread of new technologies, biological capacities, changing social dynamics, symbolic behaviors, and cultural complexity shaped human evolutionary trajectories. The behavioral repertoire of modern humans at the end of the last ice age will form the final part of the lecture course.","Class visit to the Peabody Museum collections, details to be announced.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Human Evolutionary Biology,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Theoretical Neuroscience and Artificial Intelligence,PHYSICS  325A,Haim Sompolinsky,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13582,220798,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Race and Public Health Crises: From TB to AIDS to COVID-19,AFRAMER   86,george aumoithe,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,1:15pm,Tue Thu,19026,222126,No Consent,0,0,False,False,True,False,True,False,False,"This course explores the complex interplay between race and public health crises, from tuberculosis to AIDS and COVID-19. Students will examine the visual culture of epidemics, critically analyze systems of racial classification, and study the work of influential sociologists, political scientists and historians of medicine and public health. The course challenges students to question the racial epistemology underlying epidemiological research and practice, fostering a deeper understanding of how race has shaped and has been shaped by public health responses from the 19th century to the present. By engaging with diverse materials and perspectives, students will develop critical tools to analyze racial health disparities and their societal implications, both in historical contexts and amid contemporary health challenges.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
