course_code,course_title,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability
COMPSCI 1260,Fairness and Privacy: Perspectives from Law and Probability 001,Dwork,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e649bb5996b34a741d8c2963fb10e30634097efaddcf83d44bd4594f3876527146e36e1537967771bd72135808b11a71&ReportType=2&regl=en-US,FAS-204972-2248-1-1-001,FAS-204972-2248-1-1-001(Dwork),204972,18,21,3.25,4.0,4.0,1.147964190285663,3.71,4.0,5.0,1.223342003106922,11.13,10.0,10.0,3.34,3.19,3.0,3.0,1.28,0.52589,0.73295,0.0,0.5358130736449875,0.0,0.0,0.0,0.0,"You should definitely take this class! It was quite different from any other CS class I have taken here, and expanded my brain in cool ways. One regret I have is that I was also taking a 9 am on T/Th at the same time, which meant I couldn't attend the law–only classes with martha, but I wish I could have!One tip I will give for this class is to go to Office Hours, especially the ones with Cynthia!! It is absolutely amazing how available she makes herself to students if you seek her out. She hosts office hours every week, and she also hosted office hours every day leading up to the final. The class is small too so if you go, she will have ample time to talk to you 1:1, about class content or about any other topic related to research, work, or life that you might have.I will say though that this class can be a bit stressful at times, to the point that I would ask myself why I was even taking it in the first place. I think this stems from the problem sets being really long, confusing, and disorganized, and the office hours being few and far in between. With this said though the grading is pretty generous, so you will probably be fine grade wise, but just keep this in mind. Also I would start the problem sets kind of late, and then there would only be one Office hour left so maybe this was on me. You will definitely want a problem set group though to bounce ideas off of, because the problems are creative and don't directly stem from the lectures all the time. Honestly, if you are on top of your work it is probably not too bad, and definitely worth the effort. I would also recommend doing the readings, or at least skimming them, since it is pretty expected that you do this, and can be helpful for homeworks and discussions. Regardless of the amount of temporary stress close to problem set deadlines, I am glad I took this class.Harvard is truly a hotbed of academic research related to differential privacy, cryptography, and increasing fairness, so it is a quintessential class to take if you are interested in theory, or interested in TechxSociety. I wish I had taken this class (or one of Salil's) as a junior so that I could have gotten involved in research at OpenDP during college itself. Prof. Dwork is truly so knowledgeable and a female icon in CS, so taking a class with her was on my bucket list for college. Sometimes you must pinch yourself when you realize you are taking a class with the person who literally invented the field covered.As an additional note, I really hope that they include a discussion section for future offerings –– I think this live reinforcement of the content would greatly improve student understanding. As far as what prep you need before hand, I think that having a strong background in just reading math is pretty important. I also think having good statistics intuition (maybe from taking Stat 110 / Stat 111 or maybe CS181) would be helpful, and well as having taking CS120/124 or a similar theoretic CS sequence. None of this is necessarily required, and you can definitely put in more work to stay on top of everything in the class, but just having familiar with notation or basic concepts is helpful because the class does go by fast.",0.9985,"This was one of the most frustrating classes I've taken during my time at Harvard. CS component: Although the opportunity to learn about algorithmic fairness, differential privacy, etc. from one of the literal inventors of the fields is certainly amazing, Prof. Dwork's lectures could be quite dense and hard to follow. I found her notation unnecessarily confusing, and I feel she could have done a better job motivating a lot of the technical concepts we covered. Prof. Dwork herself is quite considerate, though, and obviously a genius, so the opportunity to talk to her at her ""I'm lost"" office hours was very helpful. In terms of assignments: problem sets felt unnecessarily long at times (some questions involved writing paragraphs–long responses to vague questions that didn't really improve our understanding of the course material), and unnecessarily difficult at others (tricky questions pulled from papers, which weren't related to what was discussed in lecture). Attendance at office hours felt necessary to score close to 100% on problem sets, due to ambiguities or technicalities in the problem set questions. At the same time, office hours were often unhelpful, as TFs had no better idea of how to answer certain questions than students did. Very few comments were provided on problem set submissions. We didn't even receive official solutions against which to check our own work.The final exam felt quite unreasonable; even though we were given 4 hours (more than the 3 hours that FAS budgeted for), no one finished. Joint component: This component was honestly the most disappointing one of the entire course. I've taken a few classes on similar material before (intersection of tech and law), and I felt that that nothing new was really presented in CS1260. If you're interested in these topics, you probably won't gain very much from the joint component of this course. I was quite disappointed in how surface–level the discussions in the joint classes often were. Although the readings were interesting, we rarely engaged with them in class discussion; it felt like most of the comments being made were by students who were encountering the material for the very first time. Discussions were also often dominated by law students, who I felt focused too much on their own experiences than on thoughtfully commenting on the questions on the table. Finally, the two joint class group assignments were among the most infuriating assignments of my life. The prompts felt vague and not extremely meaningful. And I was quite disappointed by the failure of the law students in my group to contribute constructive insights about the legal considerations being discussed.",-0.7251,,0.0
COMPSCI 1410,Computing Hardware 001,Yang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4253103c92134a6468975fdf90a27d3db6a4d88360022fc818936b20d76bcc2f487a602bbac03b3a3148baa966b26786&ReportType=2&regl=en-US,FAS-113856-2248-1-1-001,FAS-113856-2248-1-1-001(Yang),113856,18,20,4.22,4.0,5.0,0.8680059581790573,4.79,5.0,5.0,0.5558685986722932,11.44,11.0,12.0,4.15,4.24,5.0,5.0,0.97,0.8218909090909091,0.9274,0.7096,0.19211043935479122,0.0,0.0,0.0,0.0,"This is an interesting, but difficult class. As a CS concentrator, it felt very grounding to understand the lower level of the stack (circuits, combinational logic, processors, chips, semis). After taking this course, I am much more appreciative (& in awe) of the innovation that goes on at the hardware level on processors (CPUs/GPUs) and memory devices (SRAM/DRAM/FLASH). Computer architecture isn't very mathy or theory based, which is nice. It's very visual and spatial–reasoning heavy. So if you like puzzles or are more of a visual thinker, the concepts won't be that difficult to understand.It is a fair amount of work with the weekly PSETs and FBGA labs, but doable. The textbook is actually really well–written, and they encourage you to use AI to help you through the materials. PSETs + labs would easily take 2–5x longer if you don't use any AI.Lectures can be very dense, but Woody is one of the best STEM lecturers I've had at Harvard. It's very refreshing to see in the CS department, in which most lectures are not worth attending. He is clearly passionate and extremely knowledgable about the topic, and often relates course material back to the real world drama of the semiconductor industry.Really glad I took this course.",0.9916,,0.0,,0.0
COMPSCI 1650,Data Systems 001,Idreos,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=41d8fe552cbdd109942e6fe0bd271933d1a9455f684e7e198aef40b3f6731df769764af4751802602ba882c015d0c91e&ReportType=2&regl=en-US,FAS-119249-2248-1-1-001,FAS-119249-2248-1-1-001(Idreos),119249,17,25,4.75,5.0,5.0,0.5573204290227127,4.87,5.0,5.0,0.33799766898963113,13.75,15.5,20.0,5.97,4.5,5.0,5.0,0.73,0.7252166666666666,0.9365,0.9291,0.4769888331708584,0.0,0.0,0.0,0.0,"Have you ever played Factorio? It is a legendary game of automation. It has such a great learning curve where the more you put into it, the more you learn. There is constant iteration and constant improvement on your existing designs. You lose track of time when playing that game. 30 minutes spent eating lunch are better used expanding the factory. The factory must grow of course. Anyways, like that game, this class is the most potent form of crack you can find at Harvard. For a certain kind of student, you know it if you are, this class will give you everything you ever wanted from a class. Welcome to my qreport for my new favorite course. ...Ahem.....Background: Junior CS AB/SM student. Previous CS courses: CS50,124, 61, 121,181,263; ES143. Extensive prior python coding experience and experience with C through classes only. Time Statistics:I kept strict track of time spent on everything productive I did over the semester. The first time entry begins on September 2nd 2024 and each entry is one week's worth of time starting from the monday of the week. (Format is hour:minutes:secs. or hour:min)By week:(Beginning day given only)|  Start  |   End   | Duration  ||–––––––––|–––––––––|–––––––––––|| Sep 02  |  Sep 08	| 3:02      || Sep 09  |  Sep 15	| 2:04      || Sep 16  |  Sep 22	| 1:51      || Sep 23  |  Sep 29	| 2:11      || Sep 30  |  Oct 06	| 6:17      || Oct 07  |  Oct 13	| 18:08     || Oct 14  |  Oct 20	| 26:34     || Oct 21  |  Oct 27	| 6:03      || Oct 28  |  Nov 03	| 11:38     || Nov 04  |  Nov 10	| 19:12     || Nov 11  |  Nov 17	| 5:23      || Nov 18  |  Nov 24	| 15:09     || Nov 25  |  Dec 01	| 11:25     || Dec 02  |  Dec 08	| 30:04     || Dec 09  |  Dec 15	| 23:57     || Dec 16  |  Dec 22	| 40:23     |  By category: | Task                                   | Time     ||–––––––––––––––––––––––––––––––|––––––––––|| Midway Check in (Milestone 1) | 25:33:27 || Final Report                  | 09:21:11 || Lab                           | 02:42:00 || Learn B+ Trees                | 00:27:04 || Learn tmux                    | 00:34:43 || Lecture                       | 21:23:35 || Midterm                       | 12:07:12 || Midterm 2                     | 05:36:31 || Milestone 1                   | 53:32:42 || Milestone 1 Serverside        | 02:34:15 || Milestone 2                   | 29:05:51 || Milestone 2 Lecture Review    | 00:41:15 || Milestone 3                   | 41:15:25 || Milestone 4                   | 07:13:51 || Non–Milestone Coding          | 00:59:00 || Project 0                     | 02:51:27 || Read Paper                    | 00:43:43 || Reading                       | 00:34:04 || Section                       | 06:11:41 |Only Milestones (Merged):Milestone 1	77:40:24Milestone 2	29:47:06MIlestone 3	41:15:25Milestone 4	07:13:51Remarks:This course took me around 223.5 hours. This puts it easily in first place followed by CS61, CS124, and Stat 111 at 193, 180, 172 hours total. In all cases, these times including _everything_ done for the class. Suffice it to say, this class has a HEAVY workload. If I had attempted more of the extra credit and interesting add–ons to the project, I would have easily been able to put in 300+ hours into this class. So, the usual warnings of time management apply here. You might notice that I put in almost no time in the first third of the course. This was, in my opinion, a massive mistake.In the beginning, you will start with a handout code of a couple hundred lines. However, by the end, you will end up writing 6000+ lines of code. In my case, I ended up writing 9979 lines of .c and .h code. Of course there are empty and comment lines included in that, but you see my point. As such, code organization will be very important. For example, your project will need code to parse and execute various database operators. How will you do this? Perhaps consider putting each operator into its own file such as parse_select.c and execute_select.c as an example. Similarly, there will need to be thought put into the load and print commands whose execution will require logic dissimilar than the other operators. How will you deal with cases where you need to find a specific result column from its handle? How about when you need to find a database column from its full name? how about finding the specific entry in the client context for a relevant search? How will you handle database persistance? Where will code for btree and sorted index creation go? In the file with execute_create? maybe a separate create_index.c file? Where will the functions doing the search within the indices go? There is just simply a lot of code to be written. Think about semantic ways of separating your code into different files. If not, your files such as db_manager, parse and execute will baloon to thousands of lines. If using vscode, things like ctrl shift o, ctrl p, and various vim–esque keyboard shortcuts will be increase your productivity. The lectures were very dissimilar to other lecture–style CS classes I took. I was with a great cohort of students and we tried our best to ask so so many questions. We questioned everything and Stratos was great and he encouraged us in that. I think this class wins the award for the most knowledge learnt through slides per word on the slides :D To the point and keeps the focus on the conversation we are having with Stratos. CS165 has the most generous course policies of any course. I want to thus go into a tangent on the many many generosities shown by the class. Both exams are take–home and start at 9AM and last until 12pm the next day. It is open book, open computer, open internet, AND, most importantly, open people! You are able to talk through the problems with others taking the class! Of course your writeup needs to be done separately, but this is the kind of confidence they have in their problems and in their teaching philosophy. I learned so much from the back–and–forth discussions we had when trying to come up with the best algorithm for a task. How is it that the Midterm _taught_ me something? Incredible. The class has almost no deadlines. There is a midway check–in mid october by which you need to pass the first 3 of the 59 tests. This is to give you a sense of the gigantic scope of this project compared to any other class you have ever taken. Beyond that, there is only one deadline, the final one. Essentially, the course trusts you completely and leaves almost everything to you. You make any kind of design decisions. The midterms were fine. There is extra credit galore in each midterm and your first midterm doesn't count if you do better on your second. Nothing to worry about. ezpz. I highly suggest using Ubuntu/Linux for developing this project. You will be directly developing in the OS that your testing server will use. You will also be able to compile and run natively without worrying about cstdlib functions not being present on mac or windows. Please god please don't use windows.  `gdb` is essential for this project. Specifically, learn how to create a .gdbinit file and create various layouts which will come in handy. A particularly useful layout for me was `tui new–layout <layout_name> {–horizontal src 3} 2 cmd 1`. You can switch to this layout using `layout <layout_name>`. Learn also how to use vgdb to use gdb together with valgrind for a powerful duo. I heavily suggest using tmux as a terminal multiplexer. Learning it and setting it up as I like is has been an absolute game changer. For example, I didn't do this myself and it cost me dear time at the end: create a test execution script that can start the server and client processes as well as can input specific tests into the client. Use the test generation scripts to create tests of different magnitudes. You should at least create the 10million row version of the tests. Then, develop your project only using the larger tests. I personally always used a 1million row dataset and its tests. It served me very well. 10 million is for the stress tests. For example, did you know that there is a max limit size of a stack allocated array? This means any stack allocated array should make sure it doesn't go past that size. This is very niche: the course uses C99 but C99 does not have a address aligned malloc function. HOWEVER, you can create one yourself if you would like. The way you do this can be found on the internet, but what this allowes you to do is to assume almost every memory region you allocated is cache/page aligned. How about that :DSome Areas that the course could improve upon: 1– The CS165 language needs to be updated. For example, there are tests that require single–threaded execution. Thus, there is a single_core() and single_core_execute() command that essentially enable and disable multicode performance. Very easy to implement, however, it must be included in the language regardless. 2– Certain things about the project need to be clarified. For example, it is possible for certain tests to create an internal variable, say s1, and then overwrite it with a new result also named s1. However, at least from my look at the project, there is no text on whether this is allowed. 3– The create column command specification is `create(col,<col_name>,<tbl_var>)` however, the examples shown just below it show examples such as `create(col,""project"",awesomebase.grades,unsorted)`. However, this `unsorted` argument is not allowed given the language. These kinds of inconsistencies need to be resolved and not left to be clarified every year using Ed. 4– Many students including me experience issues with permissions and with the docker container running as root. This is extremely unnecessary and dangerous I believe. If the docker container has any issues, it will execute with root access. My docker container should not be able to nuke my computer :D I mean this is an exageration, but there is no reason to not have a basic user such as `cs165–student`. This would remove a lot of issues with root permissions. For example, after every time I used run_mile with the make file, it compiles the project with the docker root user. Thus, I need to then run a `sudo` make clean instead of just being to use my normal user. I needed to use sudo so much and I find that this is not good practice and makes it so unnecessary. I had input mu 25 char password every time I needed to do this. I seriously considered reducing my computer's password length or removing it entirely to stop password authentication every single time I needed to compile my code after a run_mile. 5– Some of the section recordings are extremely old and the audio and video quality is really showing its age. I would humbly that the class invest some TF time to rerecord these videos with hopefully better production. 6– Certain things mentioned in the milestone requirements turned out to be optional and worth extra credit point. The course needs to clarify what counts as a minimum and what not. For example, I later in the course learned that there would be no inserts done after index creation. This meant that I could make many assumptions about my structure. This lead me to design a –I think– novel way to store the btree in memory without needing a reference to each node's start address. I literally halved my btree size and made it perform much better in terms of cache locality. Final thoughts:There is so much to say about this class, but just know that this class really cares about your success. There were office hours and help available almost every single day. What can I say, I feel that I didn't make the most of this class and I could have done so much more for this class. I am definitely going to implement the project in Rust at some point:D I wish you luck. If class difficulty is not an immediate no for you, then class will deliver. Take the plunge and learn how one can learn so much in just a semester. Like, the largest project I had worked on before this has 2800 lines of python code. Of course, c gets way less done in the same number of lines, but still, this was a big personal achievement for me to have finished this. May you stand unshaken amidst a crashing world...",0.9996,"No pain, no gain.",-0.5106,,0.0
COMPSCI 1710,Visualization 001,Knittel,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4f7d89062f4be54d9c251b93995157c6a1c9e06b312d69a3ed214e350a50e5579864bec3bdc7d3d1313eae2403d1d192&ReportType=2&regl=en-US,FAS-124364-2248-1-1-001,FAS-124364-2248-1-1-001(Knittel),124364,51,62,4.15,4.0,5.0,1.0551148405423332,3.92,4.0,5.0,1.060588744447387,10.71,10.0,10.0,5.05,4.05,4.0,4.0,1.0,0.5736625,0.81755,0.3612,0.46796540917548873,0.0,0.0,0.0,0.0,"Take this class!! Probably one of the best and most fun CS courses at Harvard. The workload can be heavy at times, the weekly HW and lab assignments definitely take a decent amount of time, but you learn so much from it and have so much fun. The teaching team is also super helpful and there are loads of OH if you need help. The final project was also a decent amount fo work but honestly so much fun. Definitely recommend.",0.9917,This class is a LOT of work.  Expect to dump some hours into it every week.  The labs and problem sets are fat.,-0.6486,,0.0
COMPSCI 1840,Introduction to Reinforcement Learning 001,Janson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=33d206fdd4dec1f301f811b15ec20439307b3187bba1eda2bfdcc349bdb111479b8dfce5c8c1ad6ad5b0619c7fc9f4d1&ReportType=2&regl=en-US,FAS-220124-2248-1-1-001,FAS-220124-2248-1-1-001(Janson),220124,83,115,3.7,4.0,4.0,1.063825839806358,4.11,4.0,5.0,0.9350633317286238,8.82,8.0,10.0,3.2,3.46,4.0,4.0,1.08,0.459658064516129,0.7269,0.0,0.6136380859400181,0.0,0.0,0.0,0.0,"Here's my honest guide to Reinforcement Learning :)[Prereqs]:STAT 110 I think is a must with its statistical knowledge.Linear Algebra and Multivariate are also highly encouraged so you understand the math.I don't really think any other CS course is needed, just know how to program in Python.[Overall]:If you want to really understand the field of RL, this class does it so well.  The math is challenging but the class never felt overly–difficult because you had a lot of resources with office hours, recaps in lecture, and sections. The class leading up to the midterm is the more ""harder"" part in that the midterm is written.  Please study for it, it basically determines the variability in grades in the class.  The post–midterm part of the class' material gets more challenging but you get to do a project and I absolutely love projects because you can deep–dive into a part of RL that you like on a topic you love, so it becomes less hard.[Problem Sets]:Pretty average problem sets with written/proof parts and programming parts.  Programming isn't bad at all, it's just writing in code what you learned in class in Python. – There were 4 problem sets when I took this course– The hardest is the 1st and as you go they decrease in length and difficulty– Basically just go to 1–3 office hours and you'll be totally fine.[Lectures]:The amount of material you cover is a bit insane but to me that's worth it because it's a bang for your buck.  The Professor is very passionate about the work.  What I recommend doing:– Don't try to jot down everything/scramble.  Instead, understand the intuition while the professor is talking and pointing to things on the slides.  The lectures are recorded and there's already so much math on the screen it's better to understand the main points and write those down than to get bugged in the details.  You can do that later offline.– Have on the side, and especially before the midterm, a ""summary"" note sheet you make as you go along.  It's so useful to do a recap yourself, beyond the recaps the professor does before each and every lecture.[Topics Covered]:Basically the idea of RL is there's an agent and the agent is trying some actions out in its environment, which may/may not change the environment they're in.  The agent has some goal in mind.  The following topics focus on either specific applications/environment setups or ways to help the agent to interact with their environment.– Markov Decision Processes in finite and infinite cases: given some states the environment can be in and some actions the agent can perform, what state and action sequence gives the agent the best reward?– Control: this topic focuses on ""controlling"" or ""balancing"" within a physical environment. how can I get an agent to learn to overcome physical forces?  For example, how do I balance a long pole on a moving cart?– Bandits: given a selection of choices (think a casino slot–machine) with outcomes I don't know, what's the best way to learn so I maximize my reward now AND in the future?  This topic looks at exploration vs exploration of choice.– Learning: all about supervised learning– PG: basically, how volatile are we in getting to the best outcome?  Can we reduce variance in the steps we take to get to the outcome?  We cover things like TRPO, NPG, and PPO.– Miscellaneous: Imitation Learning, Behavioral Cloning: can we start our agent off by ""learning from another agent""?",0.9976,"Probably one of the worst courses I have taken, despite the very positive Q–reports it had. The lectures were not engaging in the slightest, there is a focus on statistical proofs rather than any fundamental of reinforcement knowledge, and proofs are taught on slides with details very quickly skipped over, but the expectation that students know them for assessment. You will likely only learn through the final project or potentially the coding portion of the problem sets. The assignment expectations are not clearly communicated and the midterm expectations are not reasonable. Additionally, during the midterm there was constant talking by the professor which disturbed any students who work in silence. On the other hand, there are only 4 assignments, a midterm and a final project so it is not a very heavy course. The OHs are lifesavers in terms of problem sets. Do not recommend this course unless the structure is changed.",-0.9422,,0.0
COMPSCI 1870,Introduction to Computational Linguistics and Natural-language Processing 001,Shieber,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=48f28f0fdbf79cd328446b66c9d8640136897defbe4b5db48e1bc46b7428251d2340cc96323ce7a754b1b20a7d2cf4e4&ReportType=2&regl=en-US,FAS-117372-2248-1-1-001,FAS-117372-2248-1-1-001(Shieber),117372,28,36,3.74,4.0,5.0,1.2234397339137995,4.05,4.0,5.0,1.024152766382481,6.67,6.0,6.0,2.73,3.73,4.0,3.0,1.08,0.5274357142857143,0.7417,0.8799,0.4848599204641764,0.0,0.0,0.0,0.0,"If you are at all interested in machine learning and NLP, take this class. It's a little rough around the edges; questions go unanswered, assignments go ungraded, and no one ever really knows what's going on. With that said, however, professor Shieber is an EXCELLENT source of knowledge and is always more than happy to discuss his work and philosophy. There really is a lot to learn from this class. For those completely new to ML, you'll walk away with a pretty strong grasp of PyTorch and the resources and skills to start building and training your own models. For those interested in NLP, you'll touch on every single part of the language model pipeline and walk away implementing your very own sequence to sequence model from scratch. Additionally, you'll learn a lot about formal language theory. While this language is less broadly applicable to ML, it is still interesting stuff especially if you're into linguistics at all. This is one of those classes where you get out what you put in. If you're willing to spend the time and work past this courses flaws, you'll find this class really is wonderful. On top of that, work outside of class is definitely a lot less than a standard upper level CS class, which is very nice.",0.9854,"Really wouldn't recommend this class. It sounds interesting on paper, and the first few weeks are okay, but the middle/end was a waste of time. You spent 90% of the time in the course in the nitty gritty of some nlp python library debugging stupid code instead of actually getting a strong intuition and understanding of the models.",-0.5014,,0.0
COMPSCI 2210,Computational Complexity 001,Sudan,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=78d2dd28ff18f4aa3fd7a908aefde265f09605f379491aa66109dde2fd3fb597b7ca036d82d202499a88a9edcf49aab5&ReportType=2&regl=en-US,FAS-111993-2248-1-1-001,FAS-111993-2248-1-1-001(Sudan),111993,19,20,4.88,5.0,5.0,0.32659863237109044,4.94,5.0,5.0,0.23868325657594203,8.59,8.0,10.0,3.79,4.65,5.0,5.0,0.49,0.84437,0.89325,0.8984,0.17030738256328043,0.0,0.0,0.0,0.0,"This class presents a very nice overview of computational complexity theory, with particularly interesting topics such as probabilistically checkable proofs, pseudo–randomness, etc. The material presented in this course is particularly elegant and very well motivated, and will give you the tools to start understanding and thinking about fundamental problems in the field. If you are interested in theoretical computer science broadly, this will definitely be interesting to you. If you are interested in the design and use of algorithms, this course would still be an interesting way to contextualize the work you do, albeit at a more abstract level.",0.9765,,0.0,,0.0
COMPSCI 2243,Algorithms for Data Science 001,Chen,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b8d71cd41239b8c118be4d43fd2bf7cdea538c4fe45ca707e3f7d392730713b8efdde3b503db9f56a24f0f6f8e780834&ReportType=2&regl=en-US,FAS-156211-2248-1-1-001,FAS-156211-2248-1-1-001(Chen),156211,11,14,4.5,5.0,5.0,0.8102873913406629,4.5,5.0,5.0,0.715873765076464,9.44,10.0,10.0,2.92,4.5,5.0,5.0,0.85,0.56886,0.5899,0.1624,0.38507165307251584,0.0,0.0,0.0,0.0,"I took this course as a sophomore; arguably, the greatest course of my academic career. The problem sets are arduous, but so rewarding. This course covers a breadth of content without sacrificing technical details for proofs. Professor Chen is an amazing lecturer as well, though I wouldn't recommend live–texing since the comments btwn blackboard writing are at least as valuable as the writing itself. The class is well structured, with a lot of potential for self–guided exploration of supplementary material, and the final project exposes you to some really neat content. I can't understate my love for this course; if the psets are hard to fit in your schedule, audit it – this is too good to pass up.",0.9804,,0.0,,0.0
COMPSCI 2281R,Topics in Foundations of ML: Mathematical & Engineering Principles for Training Foundation Models 001,Kakade,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=17194b8ef9fb3f68ea36dcad6c7c15ddefdbb04a3119a1b757122902716c59e6c1c5c857f23f7b07bdeb4f7efb30cdb2&ReportType=2&regl=en-US,FAS-207862-2248-1-1-001,FAS-207862-2248-1-1-001(Kakade),207862,45,66,4.03,4.0,5.0,0.9311663154725406,4.57,5.0,5.0,0.7142842712828137,5.41,4.0,4.0,3.6,3.93,4.0,5.0,0.98,0.6915666666666667,0.7746,0.9937,0.3751473910345106,0.0,0.0,0.0,0.0,"This class had a couple real gems in lectures, but could overall use some improvement. CONTENTThe course covered a wide variety of topics in training foundation models. In particular, it began with basic backprop + gradient descent, edge of stability, optimization techniques and theory, sharding, training pipeline (pre/mid/post), parallelization, generative AI, inference, with interspersed topics taught by guest lectures: Jonathan Frankle (databricks), Roy Frostig (jax), Julia Neagu / Deanna Emery (QuotientAI), Vahan Petrosyan / Leo Linden (SuperAnnotate), and Jacob Austin (Google Deepmind). The main instructors for the content were Sham and various Kempner postdocs. The material is largely interesting, but not very organized.  Some of the lectures were quite interesting, for instance Frankle discussed some relatively original takes; the first two lectures had some intriguing theoretical content, etc. However, several lectures depend critically on familiarity; for instance, I think it is very difficult to take anything out of a jax lecture if one has not worked with the language before. For many lectures, without references or implementation exercises, it was difficult to take something concrete; for instance, in either the parallelization lectures or the generative AI lectures (both of which were interesting, but some exercises would have been nice). Overall, a fun class to take which is low–workload and is essentially a sequence of seminar talks, and not necessarily an organized and very rigorous course.HWThere were three HWs which constituted two of Sasha Rush’s puzzles (available publicly on GitHub). This caused the class to be very easy in terms of workload; however, I wish there were HW assignments which more accurately described the content. For instance, it would have been nice to actually train a model using parallel compute, actually implement some of the optimization techniques, use JAX, implement generative models (e.g. diffusion, etc.). PROJECTThere is a project at the end of the course. This project is pretty open–ended and is a good opportunity for students to engage in some original work in ML, and I appreciate it as the only major assignment of the course. There are a few milestones where we received decent feedback. Again, I think it would have been nice for there to be some starting guidelines, possibly in the HW assignments, for places to start; generating ideas was an interesting but relatively nontrivial process.",0.9959,Very rigorous and goes into substantial technical depth. Deserves its place as a graduate–level CS course.,-0.1513,,0.0
COMPSCI 2370,Economic Analysis as a Frontier of Theoretical Computer Science 001,Gonczarowski,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1332d20b938dfe1b47ed48a980dccda0f1249316b551bfc2020ec8523c92bd56b951a7971675ce7c1dd99847d6a1f027&ReportType=2&regl=en-US,FAS-221932-2248-1-1-001,FAS-221932-2248-1-1-001(Gonczarowski),221932,17,20,4.5,5.0,5.0,0.6276459144608478,4.69,5.0,5.0,0.4648231987117317,6.0,5.0,5.0,3.27,4.64,5.0,5.0,0.63,0.8586750000000001,0.85675,0.7385,0.13846141159182224,0.0,0.0,0.0,0.0,"Take this course if you are seriously interested in theoretical econ/CS, extra emphasis on the theoretical component. Course can be a bit dry at times with the theoretical lecture component, but Yannai is generally a solid lecturer. Definitely would recommend coming to class each time as there isn't really a good alternative, and there is some informal emphasis on attendance. Would say in general the staff is friendly and Jack is a great TF. It's also pretty hard to pursue this class without knowing at least another person in the class to do a project with, since that project can be pretty complex and it is much better to be working on a team.",0.9827,,0.0,,0.0
